,Hour,Month,DayOfWeek,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator
34,9,2,3,3,1014,1,0,0,180,120.0,3,51,0
35,14,2,4,0,1031,2,1,0,350,265.0,3,76,1
36,17,2,5,1,1052,0,0,2,120,0.0,3,61,0
37,23,2,6,2,4451,3,1,2,0,0.0,3,85,1
38,4,2,0,5,151,2,0,0,350,265.0,3,74,1
39,8,2,1,6,1075,1,1,1,140,90.0,3,93,0
40,13,2,2,4,1098,0,0,1,160,120.0,3,49,0
41,16,2,3,3,1106,1,1,0,180,180.0,3,83,1
42,22,2,4,0,1117,2,0,0,350,90.0,3,59,0
43,4,2,5,1,171,0,1,2,120,90.0,3,91,0
44,8,2,6,2,4451,3,1,2,0,0.0,3,71,1
45,13,2,0,5,187,2,1,0,350,140.0,3,86,0
46,18,2,1,6,2082,1,0,1,140,90.0,3,56,0
47,22,2,2,4,265,0,1,1,160,160.0,3,79,1
48,4,2,3,3,270,1,0,0,180,180.0,3,64,1
49,8,2,4,0,202,2,1,0,350,120.0,3,97,0
50,13,2,5,1,220,0,0,2,120,120.0,3,69,1
51,18,2,6,2,4451,3,1,2,0,0.0,3,94,1
52,23,2,0,5,229,2,0,0,350,100.0,3,54,0
53,5,2,1,6,238,1,1,1,140,140.0,3,81,1
54,9,3,2,4,290,0,0,1,160,90.0,3,65,0
55,14,3,3,3,258,1,1,0,180,180.0,3,92,1
56,18,3,4,0,337,2,0,0,350,265.0,3,50,1
57,23,3,5,1,3052,0,1,2,120,90.0,3,75,0
58,3,3,6,2,4451,3,1,2,0,0.0,3,58,1
59,7,3,0,5,355,2,1,0,350,90.0,3,89,0
60,12,3,1,6,370,1,0,1,140,90.0,3,44,0
61,16,3,2,4,288,0,1,1,160,160.0,3,78,1
62,21,3,3,3,299,1,0,0,180,180.0,3,67,1
63,3,3,4,0,315,2,1,0,350,265.0,3,95,1
64,8,3,5,1,323,0,0,2,120,90.0,3,55,0
65,13,3,6,2,4451,3,1,2,0,0.0,3,80,1
66,18,3,0,5,467,2,0,0,350,265.0,3,62,1
67,23,3,1,6,417,1,1,1,140,90.0,3,87,0
68,5,3,2,4,349,0,0,1,160,160.0,3,47,1
69,10,3,3,3,353,1,1,0,180,100.0,3,73,0
70,14,3,4,0,372,2,0,0,350,265.0,3,68,1
71,19,3,5,1,376,0,1,2,120,120.0,3,91,1
72,0,3,6,2,4451,3,1,2,0,0.0,3,53,1
73,6,3,0,5,392,2,1,0,350,100.0,3,82,0
74,11,3,1,6,398,1,0,1,140,110.0,3,56,0
75,15,3,2,4,400,0,1,1,160,90.0,3,84,0
76,21,3,3,3,410,1,0,0,180,180.0,3,69,1
77,2,3,4,0,421,2,1,0,350,265.0,3,94,1
78,6,3,5,1,426,0,0,2,120,100.0,3,49,0
79,11,3,6,2,4451,3,1,2,0,0.0,3,76,1
80,16,3,0,5,500,2,0,0,350,265.0,3,63,1
81,21,3,1,6,496,1,1,1,140,120.0,3,88,0
82,2,3,2,4,444,0,0,1,160,60.0,3,74,0
83,7,3,3,3,451,1,1,0,180,90.0,3,96,0
84,12,3,4,0,325,2,0,0,350,140.0,3,61,0
85,16,4,5,1,408,0,1,2,120,60.0,3,85,0
86,22,4,6,2,4451,3,1,2,0,0.0,3,52,1
87,3,4,0,5,347,2,1,0,350,265.0,3,79,1
88,7,4,1,6,575,1,0,1,140,140.0,3,66,1
89,12,4,2,4,277,0,1,1,160,160.0,3,90,1
90,15,4,3,3,486,1,0,0,180,140.0,3,48,0
91,21,4,4,0,488,2,1,0,350,90.0,3,77,0
92,2,4,5,1,384,0,0,2,120,90.0,3,60,0
93,6,4,6,2,4451,3,1,2,0,0.0,3,83,1
94,11,4,0,5,319,2,0,0,350,265.0,3,71,1
95,15,4,1,6,563,1,1,1,140,90.0,3,97,0
96,20,4,2,4,469,0,0,1,160,160.0,3,46,1
97,1,4,3,3,531,1,1,0,180,0.0,3,81,0
98,6,4,4,0,477,2,0,0,350,100.0,3,64,0
99,11,4,5,1,1309,0,1,2,120,120.0,3,93,1
100,15,4,6,2,4451,3,1,2,0,0.0,3,57,1
101,21,4,0,5,799,2,1,0,350,265.0,3,86,1
102,3,4,1,6,967,1,0,1,140,90.0,3,55,0
103,7,4,2,4,736,0,1,1,160,160.0,3,82,1
104,12,4,3,3,872,1,0,0,180,100.0,3,63,0
105,16,4,4,0,631,2,1,0,350,265.0,3,90,1
106,22,4,5,1,642,0,0,2,120,120.0,3,48,1
107,4,4,6,2,4451,3,1,2,0,0.0,3,76,1
108,8,4,0,5,677,2,0,0,350,100.0,3,58,0
109,13,4,1,6,686,1,1,1,140,140.0,3,87,1
110,18,4,2,4,696,0,0,1,160,100.0,3,67,0
111,23,4,3,3,719,1,1,0,180,90.0,3,94,0
112,8,1,6,0,731,2,0,0,350,100.0,3,71,0
113,12,1,0,1,740,0,1,2,120,120.0,3,89,1
114,16,1,1,2,4451,3,1,2,0,0.0,3,52,1
115,22,1,2,5,757,2,1,0,350,265.0,3,79,1
116,5,1,3,6,765,1,0,1,140,120.0,3,66,0
117,11,1,4,4,773,0,1,1,160,160.0,3,95,1
118,14,1,5,3,778,1,0,0,180,120.0,3,44,0
119,18,1,6,0,795,2,1,0,350,265.0,3,78,1
120,2,1,0,1,806,0,0,2,120,90.0,3,61,0
121,6,1,1,2,4451,3,1,2,0,0.0,3,85,1
122,10,1,2,5,848,2,0,0,350,265.0,3,49,1
123,15,1,3,6,857,1,1,1,140,90.0,3,74,0
124,20,1,4,4,878,0,0,1,160,120.0,3,69,0
125,1,1,5,3,890,1,1,0,180,180.0,3,92,1
126,7,1,6,0,900,2,0,0,350,140.0,3,57,0
127,12,1,0,1,919,0,1,2,120,120.0,3,83,1
128,17,1,1,2,4451,3,1,2,0,0.0,3,68,1
129,22,1,2,5,943,2,1,0,350,265.0,3,96,1
130,4,1,3,6,972,1,0,1,140,90.0,3,46,0
131,8,1,4,4,980,0,1,1,160,120.0,3,81,0
132,13,1,5,3,994,1,0,0,180,100.0,3,60,0
133,16,1,6,0,1009,2,1,0,350,180.0,3,88,0
134,22,1,0,1,869,0,0,2,120,0.0,3,53,0
135,2,1,1,2,4451,3,1,2,0,0.0,3,77,1
136,7,1,2,5,1048,2,0,0,350,265.0,3,64,1
137,12,1,3,6,914,1,1,1,140,140.0,3,91,1
138,15,1,4,4,937,0,0,1,160,160.0,3,50,1
139,21,1,5,3,1093,1,1,0,180,180.0,3,75,1
140,3,1,6,0,814,2,0,0,350,90.0,3,59,0
141,7,1,0,1,821,0,1,2,120,90.0,3,84,0
142,11,1,1,2,4451,4,1,2,0,0.0,3,66,1
143,16,2,2,5,865,2,1,0,350,265.0,3,93,1
144,21,2,3,6,867,1,0,1,140,100.0,3,45,0
145,3,2,4,4,894,0,1,1,160,160.0,3,80,1
146,8,2,5,3,908,1,0,0,180,180.0,3,62,1
147,13,2,6,0,911,2,1,0,350,180.0,3,86,0
148,18,2,0,1,1592,0,0,2,120,120.0,3,51,1
149,23,2,1,2,4451,4,1,2,0,0.0,3,73,1
150,5,2,2,5,810,2,0,0,350,100.0,3,56,0
151,9,2,3,6,816,1,1,1,140,140.0,3,82,1
152,14,2,4,4,841,0,0,1,160,100.0,3,70,0
153,17,2,5,3,1124,1,1,0,180,180.0,3,97,1
154,23,2,6,0,1136,2,0,0,350,180.0,3,47,0
155,4,2,0,1,1199,0,1,2,120,180.0,3,84,0
156,8,2,1,2,4451,4,1,2,0,0.0,3,65,1
157,13,2,2,5,1211,2,1,0,350,180.0,3,92,0
158,16,2,3,6,1219,1,0,1,140,120.0,3,53,0
159,22,2,4,4,1228,0,1,1,160,160.0,3,79,1
160,4,2,5,3,1240,1,0,0,180,160.0,3,61,0
161,8,2,6,0,1247,2,1,0,350,180.0,3,89,0
162,13,2,0,1,1000,0,0,2,120,120.0,3,44,1
163,18,2,1,2,4451,4,1,2,0,0.0,3,78,1
164,22,2,2,5,1019,2,0,0,350,100.0,3,67,0
165,4,2,3,6,1023,1,1,1,140,90.0,3,95,0
166,8,2,4,4,1279,0,0,1,160,160.0,3,55,1
167,13,2,5,3,1288,1,1,0,180,120.0,3,80,0
168,18,2,6,0,1297,2,0,0,350,265.0,3,62,1
169,23,2,0,1,1073,0,1,2,120,120.0,3,87,1
170,5,2,1,2,4451,4,1,2,0,0.0,3,47,1
171,9,3,2,5,1103,2,1,0,350,120.0,3,73,0
172,14,3,3,6,1114,1,0,1,140,100.0,3,68,0
173,18,3,4,4,1130,0,1,1,160,90.0,3,91,0
174,23,3,5,3,1139,1,0,0,180,90.0,3,52,0
175,3,3,6,0,1143,2,1,0,350,90.0,3,82,0
176,7,3,0,1,1151,0,0,2,120,120.0,3,56,1
177,12,3,1,2,4451,4,1,2,0,0.0,3,84,1
178,16,3,2,5,1067,2,0,0,350,265.0,3,69,1
179,21,3,3,6,1083,1,1,1,140,120.0,3,94,0
180,3,3,4,4,1089,0,0,1,160,120.0,3,49,0
181,8,3,5,3,1111,1,1,0,180,180.0,3,76,1
182,13,3,6,0,1116,2,0,0,350,265.0,3,63,1
183,18,3,0,1,1128,0,1,2,120,120.0,3,88,1
184,23,3,1,2,4451,4,1,2,0,0.0,3,74,1
185,5,3,2,5,1033,2,1,0,350,120.0,3,96,0
186,10,3,3,6,1046,1,0,1,140,100.0,3,61,0
187,14,3,4,4,1064,0,1,1,160,160.0,3,85,1
188,19,3,5,3,1066,1,0,0,180,180.0,3,52,1
189,0,3,6,0,960,2,1,0,350,265.0,3,79,1
190,6,3,0,1,1246,0,0,2,120,120.0,3,66,1
191,11,3,1,2,4451,4,1,2,0,0.0,3,90,1
192,15,3,2,5,1371,2,0,0,350,265.0,3,48,1
193,21,3,3,6,1372,1,1,1,140,140.0,3,77,1
194,2,3,4,4,1378,0,0,1,160,160.0,3,60,1
195,6,3,5,3,1383,1,1,0,180,90.0,3,83,0
196,11,3,6,0,1391,2,0,0,350,160.0,3,71,0
197,16,3,0,1,1394,0,1,2,120,120.0,3,97,1
198,21,3,1,2,4451,4,1,2,0,0.0,3,46,1
199,2,3,2,5,1437,2,1,0,350,100.0,3,81,0
200,7,3,3,6,1444,1,0,1,140,140.0,3,64,1
201,8,1,6,4,1496,0,1,1,160,160.0,3,93,1
202,12,1,0,3,1449,1,0,0,180,120.0,3,57,0
203,16,1,1,0,1454,2,1,0,350,100.0,3,86,0
204,22,1,2,1,1456,0,0,2,120,120.0,3,55,1
205,5,1,3,2,4451,4,1,2,0,0.0,3,82,1
206,11,1,4,5,1532,2,0,0,350,90.0,3,63,0
207,14,1,5,6,1490,1,1,1,140,120.0,3,90,0
208,18,1,6,4,681,0,0,1,160,160.0,3,48,1
209,2,1,0,3,1477,1,1,0,180,180.0,3,76,1
210,6,1,1,0,1485,2,0,0,350,265.0,3,58,1
211,10,1,2,1,1502,0,1,2,120,0.0,3,87,0
212,15,1,3,2,4451,4,1,2,0,0.0,3,67,1
213,20,1,4,5,1514,2,1,0,350,120.0,3,94,0
214,1,1,5,6,1516,1,0,1,140,140.0,3,71,1
215,7,1,6,4,1525,0,1,1,160,60.0,3,89,0
216,12,1,0,3,1625,1,0,0,180,140.0,3,52,0
217,17,1,1,0,1634,2,1,0,350,265.0,3,79,1
218,22,1,2,1,1587,0,0,2,120,120.0,3,66,1
219,4,1,3,2,4451,4,1,2,0,0.0,3,95,1
220,8,1,4,5,1483,2,0,0,350,265.0,3,44,1
221,13,1,5,6,1499,1,1,1,140,100.0,3,78,0
222,16,1,6,4,1506,0,0,1,160,60.0,3,61,0
223,22,1,0,3,2414,1,1,0,180,180.0,3,85,1
224,2,1,1,0,1522,2,0,0,350,100.0,3,49,0
225,7,1,2,1,1528,0,1,2,120,120.0,3,74,1
226,12,1,3,2,4451,4,1,2,0,0.0,3,69,1
227,15,1,4,5,1544,2,1,0,350,265.0,3,92,1
228,21,1,5,6,782,1,0,1,140,90.0,3,57,0
229,3,1,6,4,1475,0,1,1,160,60.0,3,83,0
230,7,1,0,3,1491,1,0,0,180,180.0,3,68,1
231,11,1,1,0,4274,2,1,0,350,265.0,3,96,1
232,16,2,2,1,1602,0,0,2,120,120.0,3,46,1
233,21,2,3,2,4451,4,1,2,0,0.0,3,81,1
234,3,2,4,5,1520,2,0,0,350,265.0,3,60,1
235,8,2,5,6,1526,1,1,1,140,140.0,3,88,1
236,13,2,6,4,1537,0,0,1,160,160.0,3,53,1
237,18,2,0,3,1540,1,1,0,180,180.0,3,77,1
238,23,2,1,0,2139,2,0,0,350,265.0,3,64,1
239,5,2,2,1,1552,0,1,2,120,120.0,3,91,1
240,9,2,3,2,4451,4,1,2,0,0.0,3,50,1
241,14,2,4,5,1497,2,1,0,350,265.0,3,75,1
242,17,2,5,6,1566,1,0,1,140,140.0,3,59,1
243,23,2,6,4,1569,0,1,1,160,140.0,3,84,0
244,4,2,0,3,1571,1,0,0,180,100.0,3,66,0
245,8,2,1,0,1652,2,1,0,350,265.0,3,93,1
246,13,2,2,1,1660,0,0,2,120,120.0,3,45,1
247,16,2,3,2,4451,4,1,2,0,0.0,3,80,1
248,22,2,4,5,1669,2,0,0,350,160.0,3,62,0
249,4,2,5,6,1676,1,1,1,140,120.0,3,86,0
250,8,2,6,4,1680,0,0,1,160,160.0,3,51,1
251,13,2,0,3,1682,1,1,0,180,160.0,3,73,0
252,18,2,1,0,1687,2,0,0,350,265.0,3,56,1
253,22,2,2,1,1692,0,1,2,120,120.0,3,82,1
254,4,2,3,2,4451,4,1,2,0,0.0,3,70,1
255,8,2,4,5,1699,2,1,0,350,265.0,3,97,1
256,13,2,5,6,1710,1,0,1,140,140.0,3,47,1
257,18,2,6,4,1714,0,1,1,160,160.0,3,84,1
258,23,2,0,3,1716,1,0,0,180,100.0,3,65,0
259,5,2,1,0,1720,2,1,0,350,265.0,3,92,1
260,9,3,2,1,1727,0,0,2,120,120.0,3,53,1
261,14,3,3,2,4451,4,1,2,0,0.0,3,79,1
262,18,3,4,5,1736,2,0,0,350,100.0,3,61,0
263,23,3,5,6,1741,1,1,1,140,140.0,3,89,1
264,3,3,6,4,1744,0,0,1,160,160.0,3,44,1
265,7,3,0,3,1749,1,1,0,180,140.0,3,78,0
266,12,3,1,0,1753,2,0,0,350,265.0,3,67,1
267,16,3,2,1,1761,0,1,2,120,120.0,3,95,1
268,21,3,3,2,4451,4,1,2,0,0.0,3,55,1
269,3,3,4,5,296,2,1,0,350,265.0,3,80,1
270,8,3,5,6,43,1,0,1,140,140.0,3,62,1
271,13,3,6,4,463,0,1,1,160,160.0,3,87,1
272,18,3,0,3,860,1,0,0,180,180.0,3,47,1
273,23,3,1,0,969,2,1,0,350,265.0,3,73,1
274,5,3,2,1,1058,0,0,2,120,120.0,3,68,1
275,10,3,3,2,4451,4,1,2,0,0.0,3,91,1
276,14,3,4,5,224,2,0,0,350,265.0,3,52,1
277,19,3,5,6,273,1,1,1,140,140.0,3,82,1
278,0,3,6,4,328,0,0,1,160,160.0,3,56,1
279,6,3,0,3,382,1,1,0,180,180.0,3,84,1
280,11,3,1,0,484,2,0,0,350,120.0,3,69,0
281,15,3,2,1,460,0,1,2,120,120.0,3,94,1
282,21,3,3,2,4451,4,1,2,0,0.0,3,49,1
283,2,3,4,5,605,2,1,0,350,100.0,3,76,0
284,6,3,5,6,666,1,0,1,140,120.0,3,63,0
285,11,3,6,4,749,0,1,1,160,90.0,3,88,0
286,16,3,0,3,824,1,0,0,180,120.0,3,74,0
287,21,3,1,0,928,2,1,0,350,265.0,3,96,1
288,2,3,2,1,1029,0,0,2,120,120.0,3,61,1
289,7,3,3,2,4451,4,1,2,0,0.0,3,85,1
290,12,3,4,5,788,2,0,0,350,265.0,3,52,1
291,16,4,5,6,1207,1,1,1,140,140.0,3,79,1
292,22,4,6,4,1001,0,0,1,160,120.0,3,66,0
293,3,4,0,3,1095,1,1,0,180,90.0,3,90,0
294,7,4,1,0,1158,2,0,0,350,265.0,3,48,1
295,12,4,2,1,1141,0,1,2,120,120.0,3,77,1
296,15,4,3,2,4451,4,1,2,0,0.0,3,60,1
297,21,4,4,5,1401,2,1,0,350,265.0,3,83,1
298,2,4,5,6,1460,1,0,1,140,140.0,3,71,1
299,6,4,6,4,1509,0,1,1,160,160.0,3,97,1
300,11,4,0,3,1482,1,0,0,180,180.0,3,46,1
301,15,4,1,0,1531,2,1,0,350,265.0,3,81,1
302,20,4,2,1,1613,0,0,2,120,0.0,3,64,0
303,1,4,3,2,4451,4,1,2,0,0.0,3,93,1
304,6,4,4,5,1664,2,0,0,350,265.0,3,57,1
305,11,4,5,6,1694,1,1,1,140,140.0,3,86,1
306,15,4,6,4,1731,0,0,1,160,160.0,3,55,1
307,21,4,0,3,1765,1,1,0,180,180.0,3,82,1
308,3,4,1,0,1889,2,0,0,350,265.0,3,63,1
309,7,4,2,1,1895,0,1,2,120,90.0,3,90,0
310,12,4,3,2,4451,4,1,2,0,0.0,3,48,1
311,16,4,4,5,177,2,1,0,350,265.0,3,76,1
312,22,4,5,6,507,1,0,1,140,140.0,3,58,1
313,4,4,6,4,851,0,1,1,160,90.0,3,87,0
314,8,4,0,3,1362,1,0,0,180,180.0,3,67,1
315,13,4,1,0,1493,2,1,0,350,265.0,3,94,1
316,18,4,2,1,1898,0,0,2,120,120.0,3,71,1
317,23,4,3,2,4451,4,1,2,0,0.0,3,89,1
318,5,4,4,5,1922,2,0,0,350,265.0,3,52,1
319,9,4,5,6,1937,1,1,1,140,140.0,3,79,1
320,14,4,6,4,1938,0,0,1,160,100.0,3,66,0
321,18,5,0,3,1940,1,1,0,180,180.0,3,95,1
322,23,5,1,0,1949,2,0,0,350,100.0,3,44,0
323,3,5,2,1,1950,0,1,2,120,180.0,3,78,0
324,7,5,3,2,4451,4,1,2,0,0.0,3,61,1
325,12,5,4,5,1966,2,1,0,350,160.0,3,85,0
326,16,5,5,6,1970,1,0,1,140,120.0,3,49,0
327,21,5,6,4,1974,0,1,1,160,120.0,3,74,0
328,3,5,0,3,1977,1,0,0,180,120.0,3,69,0
329,8,5,1,0,1988,2,1,0,350,265.0,3,92,1
330,13,5,2,1,1991,0,0,2,120,120.0,3,57,1
331,18,5,3,2,4451,4,1,2,0,0.0,3,83,1
332,23,5,4,5,1998,2,0,0,350,265.0,3,68,1
333,5,5,5,6,2002,1,1,1,140,140.0,3,96,1
334,10,5,6,4,2010,0,0,1,160,160.0,3,46,1
335,14,5,0,3,2016,1,1,0,180,180.0,3,81,1
336,19,5,1,0,2021,2,0,0,350,90.0,3,60,0
337,0,5,2,1,2023,0,1,2,120,120.0,3,88,1
338,6,5,3,2,4451,4,1,2,0,0.0,3,53,1
339,11,5,4,5,2034,2,1,0,350,120.0,3,77,0
340,15,5,5,6,2036,1,0,1,140,140.0,3,64,1
341,21,5,6,4,2039,0,1,1,160,100.0,3,91,0
342,2,5,0,3,2044,1,0,0,180,90.0,3,50,0
343,6,5,1,0,2049,2,1,0,350,120.0,3,75,0
344,11,5,2,1,2054,0,0,2,120,90.0,3,59,0
345,16,5,3,2,4451,4,1,2,0,0.0,3,84,1
346,21,5,4,5,2080,2,0,0,350,60.0,3,66,0
347,2,5,5,6,2087,1,1,1,140,140.0,3,93,1
348,7,5,6,4,2090,0,0,1,160,160.0,3,45,1
349,12,5,0,3,1473,1,1,0,180,120.0,3,80,0
350,16,5,1,0,2097,2,0,0,350,265.0,3,62,1
351,22,5,2,1,2105,0,1,2,120,120.0,3,86,1
352,3,6,3,2,4451,4,1,2,0,0.0,3,51,1
353,7,6,4,5,2114,2,1,0,350,100.0,3,73,0
354,12,6,5,6,2119,1,0,1,140,140.0,3,56,1
355,15,6,6,4,2125,0,1,1,160,160.0,3,82,1
356,21,6,0,3,3157,1,0,0,180,180.0,3,70,1
357,2,6,1,0,2133,2,1,0,350,120.0,3,97,0
358,6,6,2,1,2142,0,0,2,120,120.0,3,47,1
359,11,6,3,2,4451,4,1,2,0,0.0,3,84,1
360,15,6,4,5,2152,2,0,0,350,265.0,3,65,1
361,20,6,5,6,2156,1,1,1,140,140.0,3,92,1
362,1,6,6,4,2162,0,0,1,160,160.0,3,53,1
363,6,6,0,3,2164,1,1,0,180,140.0,3,79,0
364,11,6,1,0,2171,2,0,0,350,265.0,3,61,1
365,15,6,2,1,3721,0,1,2,120,0.0,3,89,0
366,21,6,3,2,4451,4,1,2,0,0.0,3,44,1
367,3,6,4,5,2184,2,1,0,350,265.0,3,78,1
368,7,6,5,6,2191,1,0,1,140,140.0,3,67,1
369,12,6,6,4,2195,0,1,1,160,140.0,3,95,0
370,16,6,0,3,2199,1,0,0,180,180.0,3,55,1
371,22,6,1,0,2201,2,1,0,350,265.0,3,80,1
372,4,6,2,1,2208,0,0,2,120,90.0,3,62,0
373,8,6,3,2,4451,4,1,2,0,0.0,3,87,1
374,8,1,6,5,1920,2,0,0,350,265.0,3,47,1
375,12,1,0,6,1959,1,1,1,140,100.0,3,73,0
376,16,1,1,4,2072,0,0,1,160,160.0,3,68,1
377,22,1,2,3,1995,1,1,0,180,100.0,3,91,0
378,5,1,3,0,2027,2,0,0,350,120.0,3,52,0
379,11,1,4,1,2218,0,1,2,120,120.0,3,82,1
380,14,1,5,2,4451,4,1,2,0,0.0,3,56,1
381,18,1,6,5,2148,2,1,0,350,265.0,3,84,1
382,2,1,0,6,1984,1,0,1,140,140.0,3,69,1
383,6,1,1,4,2181,0,1,1,160,160.0,3,94,1
384,10,1,2,3,2758,1,0,0,180,180.0,3,49,1
385,15,1,3,0,2258,2,1,0,350,265.0,3,76,1
386,20,1,4,1,3442,0,0,2,120,120.0,3,63,1
387,1,1,5,2,4451,4,1,2,0,0.0,3,88,1
388,7,1,6,5,2275,2,0,0,350,265.0,3,74,1
389,12,1,0,6,2281,1,1,1,140,140.0,3,96,1
390,17,1,1,4,2283,0,0,1,160,100.0,3,61,0
391,22,1,2,3,1172,1,1,0,180,180.0,3,85,1
392,4,1,3,0,2298,2,0,0,350,265.0,3,52,1
393,8,1,4,1,2300,0,1,2,120,120.0,3,79,1
394,13,1,5,2,4451,4,1,2,0,0.0,3,66,1
395,16,1,6,5,2314,2,1,0,350,90.0,3,90,0
396,22,1,0,6,2317,1,0,1,140,120.0,3,48,0
397,2,1,1,4,2324,0,1,1,160,160.0,3,77,1
398,7,1,2,3,2329,1,0,0,180,180.0,3,60,1
399,12,1,3,0,2333,2,1,0,350,265.0,3,83,1
400,15,1,4,1,2340,0,0,2,120,120.0,3,71,1
401,21,1,5,2,4451,4,1,2,0,0.0,3,97,1
402,3,1,6,5,2354,2,0,0,350,265.0,3,46,1
403,7,1,0,6,3937,1,1,1,140,140.0,3,81,1
404,11,1,1,4,2363,0,0,1,160,160.0,3,64,1
405,16,2,2,3,2391,1,1,0,180,90.0,3,93,0
406,21,2,3,0,2373,2,0,0,350,265.0,3,57,1
407,3,2,4,1,2378,0,1,2,120,120.0,3,86,1
408,8,2,5,2,4451,4,1,2,0,0.0,3,55,1
409,13,2,6,5,2390,2,1,0,350,265.0,3,82,1
410,18,2,0,6,2394,1,0,1,140,140.0,3,63,1
411,23,2,1,4,3512,0,1,1,160,160.0,3,90,1
412,5,2,2,3,2409,1,0,0,180,160.0,3,48,0
413,9,2,3,0,2420,2,1,0,350,100.0,3,76,0
414,14,2,4,1,2426,0,0,2,120,120.0,3,58,1
415,17,2,5,2,4451,4,1,2,0,0.0,3,87,1
416,23,2,6,5,2437,2,0,0,350,265.0,3,67,1
417,4,2,0,6,2443,1,1,1,140,90.0,3,94,0
418,8,2,1,4,2447,0,0,1,160,160.0,3,71,1
419,13,2,2,3,1641,1,1,0,180,180.0,3,89,1
420,16,2,3,0,2456,2,0,0,350,265.0,3,52,1
421,22,2,4,1,2465,0,1,2,120,0.0,3,79,0
422,4,2,5,2,4451,4,1,2,0,0.0,3,66,1
423,8,2,6,5,2477,2,1,0,350,265.0,3,95,1
424,13,2,0,6,2481,1,0,1,140,140.0,3,44,1
425,18,2,1,4,2491,0,1,1,160,120.0,3,78,0
426,22,2,2,3,3097,1,0,0,180,180.0,3,61,1
427,4,2,3,0,4247,2,1,0,350,265.0,3,85,1
428,8,2,4,1,2502,0,0,2,120,120.0,3,49,1
429,13,2,5,2,4451,4,1,2,0,0.0,3,74,1
430,18,2,6,5,2516,2,0,0,350,265.0,3,69,1
431,23,2,0,6,2523,1,1,1,140,140.0,3,92,1
432,5,2,1,4,2531,0,0,1,160,100.0,3,57,0
433,9,3,2,3,2534,1,1,0,180,90.0,3,83,0
434,14,3,3,0,2542,2,0,0,350,265.0,3,68,1
435,18,3,4,1,2145,0,1,2,120,100.0,3,96,0
436,23,3,5,2,4451,4,1,2,0,0.0,3,46,1
437,3,3,6,5,2556,2,1,0,350,120.0,3,81,0
438,7,3,0,6,2562,1,0,1,140,140.0,3,60,1
439,12,3,1,4,2567,0,1,1,160,160.0,3,88,1
440,16,3,2,3,2575,1,0,0,180,100.0,3,53,0
441,21,3,3,0,2580,2,1,0,350,265.0,3,77,1
442,3,3,4,1,2586,0,0,2,120,120.0,3,64,1
443,8,3,5,2,4451,4,1,2,0,0.0,3,91,1
444,13,3,6,5,2594,2,0,0,350,265.0,3,50,1
445,18,3,0,6,2603,1,1,1,140,140.0,3,75,1
446,23,3,1,4,2607,0,0,1,160,160.0,3,59,1
447,5,3,2,3,2610,1,1,0,180,180.0,3,84,1
448,10,3,3,0,2613,2,0,0,350,265.0,3,66,1
